,tune,chords,notes
0,0,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9')]","[70.0, 68.0, 69.0, 65.0, 64.0, 63.0, 63.0, 63.0, 63.0, 63.0, 61.0, 62.0, 65.0]"
1,1,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9')]","[55.0, 56.0, 60.0, 63.0, 61.0, 59.0, 59.0, 57.0, 59.0, 60.0, 59.0, 56.0, 55.0]"
2,2,"[('2', 'Cm7'), ('2', 'F7'), ('1', 'Bbmaj7'), ('2', 'Cm7'), ('2', 'F7'), ('1', 'Bbmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7b9')]","[60.0, 52.0, 55.0, 56.0, 58.0, 60.0, 58.0, 60.0, 61.0, 62.0, 65.0, 63.0, 64.0]"
3,3,"[('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7'), ('2', 'Bbm7'), ('2', 'Em7b9'), ('2', 'Abmaj7'), ('2', 'Dbmaj7'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fmaj7')]","[70.0, 67.0, 62.0, 65.0, 61.0, 62.0, 63.0, 64.0, 71.0, 73.0, 71.0, 73.0, 75.0, 74.0]"
4,4,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7#9'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]","[53.0, 54.0, 56.0, 54.0, 53.0, 52.0, 55.0, 60.0]"
5,5,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7#9'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]","[67.0, 68.0, 77.0, 79.0, 80.0, 79.0, 77.0, 79.0]"
6,6,"[('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7')]","[71.0, 73.0, 72.0, 71.0, 70.0, 69.0]"
7,7,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Cm7#9'), ('1', 'Em13'), ('1', 'Gm7'), ('1', 'C7#11'), ('1', 'Cm13'), ('1', 'Cm13')]","[68.0, 69.0, 71.0, 74.0, 76.0, 79.0, 76.0, 77.0]"
8,8,"[('2', 'Am'), ('2', 'Gbm7/A'), ('2', 'Am6'), ('2', 'Gbm7/A'), ('2', 'Am'), ('2', 'Gbm7/A'), ('2', 'Am6'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'Gb7#11'), ('2', 'Gbm7'), ('2', 'Abm7b9'), ('1', 'Dbm13'), ('2', 'B7'), ('2', 'E7b9')]","[65.0, 69.0, 66.0, 67.0, 69.0, 71.0, 73.0, 72.0, 71.0, 69.0, 69.0, 62.0, 62.0, 65.0, 62.0]"
9,9,"[('1', 'Am6'), ('1', 'Gbm9'), ('1', 'Am6'), ('1', 'Gbm9'), ('1', 'Am6'), ('1', 'Gbm9'), ('1', 'Ebm7sus'), ('1', 'Ebm7')]","[73.0, 70.0, 69.0, 70.0, 69.0, 70.0, 69.0, 72.0]"
