,OTL,COM,ODT,meta,parts,chords
0,Leila,"Montgomery, Wes",1958,"['OTL: Leila', 'COM: Montgomery, Wes', 'ODT: 1958']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['G:min7', 'C7b9'], ['A:min7', 'D7b9'], ['G:min7', 'C7b9'], ['F:maj7'], ['B-:min7', 'E-7b9'], ['A-:maj7', 'D-:maj7'], ['G:min7', 'C7b9']]}, {'meta': ['*>N1\n'], 'bars': [['F:maj7', 'C7']]}, {'meta': ['*>N2\n'], 'bars': [['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7', 'F7'], ['B-:maj7'], ['C:min7', 'F7'], ['B-:maj7'], ['D:min7', 'G7'], ['C:maj7'], ['D:min7', 'G7'], ['G:min7', 'C7b9']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7', 'C7b9'], ['A:min7', 'D7b9'], ['G:min7', 'C7b9'], ['F:maj7'], ['B-:min7', 'E-7b9'], ['A-:maj7', 'D-:maj7'], ['G:min7', 'C7b9'], ['F:maj7']]}]"
1,Criss Cross,"Monk, Thelonious",1963,"['OTL: Criss Cross', 'COM: Monk, Thelonious', 'ODT: 1963']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*g:\n'], 'bars': [['G:min6'], ['G:min6'], ['G-7#9'], ['B-13'], ['D:min7'], ['G7#11'], ['G-13'], ['G-13']]}, {'meta': ['*>B\n'], 'bars': [['C:min7'], ['F7'], ['B-:maj7'], ['C:min7'], ['F7'], ['B-:maj7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min6'], ['G:min6'], ['G-7#9'], ['B-13'], ['D:min7'], ['G7#11'], ['G-13'], ['G-13']]}]"
2,Best Is Yet To Come 2,"Coleman, Cy",1959,"['OTL: Best Is Yet To Come 2', 'COM: Coleman, Cy', 'ODT: 1959']","['C', 'C2', 'D', 'A']","[{'meta': ['*>C\n', '*M4/4\n', '*A-:\n'], 'bars': [['F:min', 'D-7/F'], ['F:min6', 'D-7/F'], ['F:min', 'D-7/F'], ['F:min6', 'E-7'], ['A-7', 'D7#11'], ['D-7', 'E-7b9'], ['A-13'], ['G7', 'C7b9']]}, {'meta': ['*>C2\n'], 'bars': [['F:min6'], ['D-9'], ['F:min6'], ['D-9'], ['F:min6'], ['-9'], ['B-7sus'], ['B-7']]}, {'meta': ['*>D\n'], 'bars': [['E-:min7', 'F:min7'], ['G-6', 'A-7'], ['D-6', 'E-:min7'], ['Eo7', 'D-6/F'], ['E-:min7', 'F:min7'], ['G-6', 'A-7'], ['D-6'], ['E13']]}, {'meta': ['*>A\n'], 'bars': [['A:maj7', 'A7'], ['A6', 'A+', 'A'], ['F#7'], ['F#7'], ['B7'], ['E7'], ['A6;'], ['A6;']]}]"
3,Mimi,"Rodgers, Richard",1932,"['OTL: Mimi', 'COM: Rodgers, Richard', 'ODT: 1932']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7'], ['G6'], ['A:min7'], ['D7'], ['G:maj7'], ['G6'], ['A:min11'], ['D7']]}, {'meta': ['*>A2\n'], 'bars': [['G:maj7'], ['G6'], ['A:min7'], ['D13'], ['G:maj7'], ['G6'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['C:maj7'], ['C6'], ['Co7'], ['Co7'], ['E:min11'], ['E:min11'], ['Eo7'], ['Eo7']]}, {'meta': ['*>A3\n'], 'bars': [['G:maj7'], ['G6'], ['A:min7'], ['D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D9'], ['G6'], ['A:min7', 'D7']]}]"
4,Donna Lee,"Charlie, Parker",1947,"['OTL: Donna Lee', 'COM: Charlie, Parker', '(Miles Davis claims he wrote it)', 'ODT: 1947']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*A-:\n'], 'bars': [['A-:maj7'], ['F7'], ['B-7'], ['B-7'], ['B-:min7'], ['E-7'], ['A-:maj7'], ['E-:min7', 'A-7'], ['D-:maj7'], ['G-7'], ['A-:maj7'], ['F7'], ['B-7'], ['B-7'], ['B-:min7'], ['E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7'], ['F7'], ['B-7'], ['B-7'], ['Gh7'], ['C7b9'], ['F:min'], ['C7b9'], ['F:min'], ['C7b9'], ['F:min'], ['Bo7'], ['C:min7', 'F7'], ['B-:min7', 'E-7'], ['A-:maj7'], ['B-:min7', 'E-7']]}]"
5,Here's That Rainy Day,"van Heusen, Jimmy",1953,"[""OTL: Here's That Rainy Day"", 'COM: van Heusen, Jimmy', 'ODT: 1953']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:min(G:maj7)', 'G:min:maj7/F#'], ['F:min6(B-7)', 'B-7'], ['E-:maj7'], ['A-:maj7'], ['A:min7'], ['D7'], ['G:maj7'], ['D:min7', 'G7'], ['C:min7'], ['F7'], ['B-:maj7'], ['E-:maj7'], ['A:min7'], ['D7'], ['G:maj7', 'E:min7'], ['A:min7', 'D7']]}, {'meta': ['*>B\n'], 'bars': [['G:min(G:maj7)', 'G:min:maj7/F#'], ['F:min6(B-7)', 'B-7'], ['E-:maj7'], ['A-:maj7'], ['A:min7'], ['D7'], ['G:maj7'], ['D:min7', 'G7'], ['C:maj7'], ['A:min7', 'D7'], ['B:min7', 'E:min7'], ['A7'], ['A:min7'], ['D7'], ['G6', 'E:min7'], ['A:min7', 'D7']]}]"
6,Two For The Road,"Mancini, Henry",1967,"['OTL: Two For The Road', 'COM: Mancini, Henry', 'ODT: 1967']","['A', 'B', 'A2', 'D']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['F#h7'], ['B7b9'], ['E:min7', 'E:min7/D'], ['C:maj7', 'C:maj7/B'], ['A:min7'], ['D7sus', 'D7b9'], ['Co7/G', 'G:maj7'], ['F#:min7', 'B7b9']]}, {'meta': ['*>B\n'], 'bars': [['E:min7', 'B7b13'], ['E:min7', 'A7b9'], ['D:min7', 'A7b13'], ['D:min7', 'G7b9'], ['Eh7', 'A7b9'], ['Dh7', 'G7b9'], ['C:maj7', 'C:maj7/B'], ['A:min7', 'A:min7/G']]}, {'meta': ['*>A2\n'], 'bars': [['F#h7'], ['B7b9'], ['E:min7', 'E:min7/D'], ['C:maj7', 'C:maj7/B'], ['A:min7'], ['D7sus', 'D7b9'], ['Co7/G', 'G:maj7'], ['G7/F']]}, {'meta': ['*>D\n'], 'bars': [['E:min7', 'E:min7/D'], ['C#h7', 'C:min6'], ['B:min7', 'E:min7/D'], ['C:maj7'], ['B:min7', 'B-7'], ['A:min7', 'D13b9'], ['G6'], ['D:min7', 'G7']]}]"
7,"Gravy Waltz, The","Brown, Ray",1962,"['OTL: Gravy Waltz, The', 'COM: Brown, Ray', 'ODT: 1962']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M3/4\n', '*C:\n'], 'bars': [['.C'], ['.F'], ['.C/G', '.E7/G#'], ['.A:min7'], ['.F#:min7', '.F:min'], ['.Eh', '.A7'], ['.D7', '.G7'], ['.C']]}, {'meta': ['*>B\n'], 'bars': [['.F7'], ['.C7'], ['.F7'], ['.C7'], ['.F7'], ['.C7'], ['.D7'], ['.G7']]}, {'meta': ['*>A2\n'], 'bars': [['.C'], ['.F'], ['.C/G', '.E7/G#'], ['.A:min7'], ['.F#:min7', '.F:min'], ['.Eh', '.A7'], ['.D7', '.G7'], ['.C']]}]"
8,Countdown,"Coltrane, John",1959,"['OTL: Countdown', 'COM: Coltrane, John', 'ODT: 1959']","['A', 'ToCod', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['E:min7', 'F7'], ['B-:maj7', 'D-7'], ['G-:maj7', 'A7'], ['D:maj7'], ['D:min7', 'E-7'], ['A-:maj7', 'B7'], ['E:maj7', 'G7'], ['C:maj7'], ['C:min7', 'D-7'], ['G-:maj7', 'A7'], ['D:maj7', 'F7'], ['B-:maj7'], ['E:min7'], ['F7'], ['B-:maj7'], ['A7(E-7)']]}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>Coda\n'], 'bars': [['E:min7', 'F7'], ['B-:maj7', 'D-7'], ['G-:maj7', 'F7'], ['B-:maj7', 'A7'], ['! Rit.', 'D:maj7', 'B-:maj7'], ['G-:maj7', 'D:maj7'], ['B-:maj7', 'G-:maj7'], ['D:maj7;']]}]"
9,Secret Love,"Fain, Sammy",1953,"['OTL: Secret Love', 'COM: Fain, Sammy', 'ODT: 1953']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'B-7sus'], ['E-:maj7', 'B-7sus'], ['E-7', 'A-7', 'G:min7', 'C7'], ['F:min7', 'B-7'], ['F:min7', 'B-7'], ['F:min7', 'B-7'], ['F:min7', 'B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-6', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6', 'Dh', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7', 'F7'], ['B-:maj7'], ['B-:min7', 'E-7'], ['A-:maj7', 'D-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7', 'B-7sus'], ['Gh7', 'C7b9'], ['F:min7', 'B-7'], ['E-6', 'B-7']]}]"
